player_head,player,age,primary_position,foot,height,youth_club,ps,grew_city,grew_up_prov,prov_logo
https://i.imgur.com/OioNUIP.png,Maxime Crepeau,30,GK,R,185,Celtix du Haut-Richelieu,NO,Candiac,QC,https://i.imgur.com/CWXAT8x.png
https://i.imgur.com/mRZaqps.png,Dayne St. Clair,27,GK,L,191,North Scarborough SC,YES,Pickering,ON,https://i.imgur.com/6WUFVYl.png
https://i.imgur.com/J43nu60.png,Tom McGill,24,GK,R,185,Brighton Hove Albion,NO,Haywards Heath,-,https://i.imgur.com/aaIYyxI.png
https://i.imgur.com/fhQnBuO.png,Richie Laryea,29,RB,R,175,Club Uruguay Toronto,YES,Toronto,ON,https://i.imgur.com/6WUFVYl.png
https://i.imgur.com/DBRKE2n.png,Derek Cornelius,26,CB,L,188,Ajax SC,NO,Ajax,ON,https://i.imgur.com/6WUFVYl.png
https://i.imgur.com/5xMCx6k.png,Alistair Johnston,25,RB,R,180,Lakeshore SC,YES,Aurora,ON,https://i.imgur.com/6WUFVYl.png
https://i.imgur.com/2kpqShn.png,Kamal Miller,27,CB,L,183,Scarborough Malvern SC,YES,Scarborough,ON,https://i.imgur.com/6WUFVYl.png
https://i.imgur.com/uv0WJq5.png,Moise Bombito,24,CB,R,190,CS St-Laurent ,YES,Montreal,QC,https://i.imgur.com/CWXAT8x.png
https://i.imgur.com/hVlVk6F.png,Luc De Fougerolles,18,CB,R,180,Battersea Bedhead,NO,London,-,https://i.imgur.com/aaIYyxI.png
https://i.imgur.com/TjGd1l5.png,Kyle Hiebert,26,CB,R,183,Linden Woods,YES,La Salle,MB,https://i.imgur.com/DT0omYx.png
https://i.imgur.com/Z1Y16CJ.png,Tajon Buchanan,25,RW,R,183,Brampton YSC,YES,Brampton,ON,https://i.imgur.com/6WUFVYl.png
https://i.imgur.com/oEZgISr.png,Alphonso Davies,23,LB,L,185,Edmonton Internationals,NO,Edmonton,AB,https://i.imgur.com/E0bo3xz.png
https://i.imgur.com/ml5sJSb.png,Sam Piette,29,DM,R,171,Lionceaux du Gardeur,NO,Le Gardeur,QC,https://i.imgur.com/CWXAT8x.png
https://i.imgur.com/LtiX8sM.png,Jonathan Osorio,32,CM,R,175,Brampton YSC,NO,Brampton,ON,https://i.imgur.com/6WUFVYl.png
https://i.imgur.com/xfnJ8AE.png,Stephen Eustaquio,27,CM,R,177,Leamington MS,NO,Leamington,ON,https://i.imgur.com/6WUFVYl.png
https://i.imgur.com/6mY5gNI.png,Ismael Kone,22,CM,R,188,AS Notre-Dame-de-Grace,NO,Montreal,QC,https://i.imgur.com/CWXAT8x.png
https://i.imgur.com/GlDwm7Y.png,Mathieu Choiniere,25,CM,R,175,Celtix du Haut-Richelieu ,NO,St-Alexandre,QC,https://i.imgur.com/CWXAT8x.png
https://i.imgur.com/mIqJkMW.png,Liam Millar,24,LW,R,181,Brampton YSC,NO,Brampton,ON,https://i.imgur.com/6WUFVYl.png
https://i.imgur.com/5j8btLX.png,Jacob Shaffelburg,24,LW,L,181,Valley United SC,NO,Port Williams,NS,https://i.imgur.com/0ONJqhl.png
https://i.imgur.com/1qGxNPN.png,Cyle Larin,29,ST,R,188,Brampton YSC,YES,Brampton,ON,https://i.imgur.com/6WUFVYl.png
https://i.imgur.com/Ox2OaBa.png,Jonathan David,24,ST,R,180,Ottawa Gloucester Dragons,NO,Ottawa,ON,https://i.imgur.com/6WUFVYl.png
https://i.imgur.com/T4R8BpN.png,Theo Bair,24,ST,R,191,Ottawa Royals,NO,Ottawa,ON,https://i.imgur.com/6WUFVYl.png
https://i.imgur.com/xOR33LC.png,Tani Oluwaseyi,24,ST,L,188,GPS Academy,YES,Mississauga,ON,https://i.imgur.com/6WUFVYl.png
https://i.imgur.com/WfXTRF6.png,Jacen Russell-Rowe,21,ST,R,184,Brampton YSC,NO,Brampton,ON,https://i.imgur.com/6WUFVYl.png
https://i.imgur.com/EzNlOJh.png,Ali Ahmed,23,CM,R,180,North Toronto SC,NO,Toronto,ON,https://i.imgur.com/6WUFVYl.png
https://i.imgur.com/iWDlrSt.png,Joel Waterman,28,CB,R,188,Aldergrove YSA,YES,Aldergrove,BC,https://i.imgur.com/U3x51il.png
