player_head,player,age,NT_apps,NT_starts,NT_comp_starts,NT_mins,NT_debut_year,age_NT_debut,NT_youth_debut,primary_position,foot,height,goals_NT,assists_NT,born_city,born_prov,born_prov_abb,grew_up_prov,grew_city,youth_club,yc_logo,pro_club_debut,post_secondary,SR
https://i.imgur.com/OioNUIP.png,Maxime Crepeau,30,17,16,,,2016,21,15,GK,R,185,0,0,Greenfield Park,Quebec,QC,QC,Candiac,Celtix du Haut-Richelieu,,,,
https://i.imgur.com/mRZaqps.png,Dayne St. Clair,27,5,5,,,2021,24,15,GK,L,191,0,0,Toronto,Ontario,ON,ON,Pickering,North Scarborough SC,,,,
https://i.imgur.com/J43nu60.png,Tom McGill,24,0,0,,,-,-,14*,GK,R,185,0,0,Belleville,Ontario,ON,-,Haywards Heath*,Brighton Hove Albion,,,,
https://i.imgur.com/fhQnBuO.png,Richie Laryea,29,49,39,,,2019,24,18,RB,R,175,1,5,Toronto,Ontario,ON,On,Toronto,Club Uruguay Toronto,,,,
https://i.imgur.com/Fy4OS4m.png,Dominick Zator,29,3,0,,,2023,28,-,RB,R,188,0,0,Calgary,Alberta,AB,AB,Calgary,Cal-Glen SC,,,,
https://i.imgur.com/DBRKE2n.png,Derek Cornelius,26,20,18,,,2018,20,15,CB,L,188,0,0,Ajax,Ontario,ON,ON,Ajax,Ajax SC,,,,
https://i.imgur.com/5xMCx6k.png,Alistair Johnston,25,42,37,,,2021,22,16,RB,R,180,1,2,Vancouver,British Colombia,BC,ON,Aurora,Lakeshore SC,,,,
https://i.imgur.com/2kpqShn.png,Kamal Miller,27,43,38,,,2019,22,15,CB,L,183,0,6,Scarborough,Ontario,ON,ON,Scarborough,Scarborough Malvern SC,,,,
https://i.imgur.com/uv0WJq5.png,Moise Bombito,24,6,6,,,2023,23,-,CB,R,190,0,0,Saint-Laurent,Quebec,QC,QC,Montreal,CS St-Laurent ,,,,
https://i.imgur.com/hVlVk6F.png,Luc De Fougerolles,18,1,0,,,2024,18,-,CB,R,180,0,0,London*,-,-,-,London*,Battersea Bedhead,,,,
https://i.imgur.com/TjGd1l5.png,Kyle Hiebert,26,2,0,,,2023,25,16,CB,D,183,0,0,Winnipeg,Manitoba,MB,MB,La Salle,Linden Woods,,,Yes,
https://i.imgur.com/Z1Y16CJ.png,Tajon Buchanan,25,38,30,,,2021,22,22,RW,R,183,4,6,Toronto,Ontario,ON,ON,Brampton,Brampton YSC,,,Yes,
https://i.imgur.com/oEZgISr.png,Alphonso Davies,23,47,42,,,2017,16,13,LB,L,185,16,17,Gomoa Buduburam*,-,-,AB,Edmonton,Edmonton Internationals,,,No,
https://i.imgur.com/ml5sJSb.png,Sam Piette,29,69,45,,,2012,17,15,DM,R,171,0,4,Le Gardeur,Quebec,QC,QC,Le Gardeur,Lionceaux du Gardeur,,,,
https://i.imgur.com/LtiX8sM.png,Jonathan Osorio,32,72,51,,,2013,20,18,CM,D,175,9,8,Toronto,Ontario,ON,ON,Brampton,Brampton YSC,,,,
https://i.imgur.com/xfnJ8AE.png,Stephen Eustaquio,27,37,34,,,2019,22,15,CM,R,177,4,4,Leamington,Ontario,ON,ON,Leamington,Leamington MS,,,,
https://i.imgur.com/6mY5gNI.png,Ismael Kone,22,19,12,,,2022,19,-,CM,R,188,2,0,Abidjan*,-,-,QC,Montreal,AS Notre-Dame-de-Grace,,,,
https://i.imgur.com/GlDwm7Y.png,Mathieu Choiniere,25,3,0,,,2023,24,14,CM,R,175,0,0,Saint-Jean-sur-Richelieu,Quebec,QC,QC,St-Alexandre,Celtix du Haut-Richelieu ,,,,
https://i.imgur.com/bkBqEra.png,Junior Hoilett,34,63,44,,,2015,25,-,LW,R,174,15,16,Brampton,Ontario,ON,ON,Brampton,Brampton YSC,,,,
https://i.imgur.com/mIqJkMW.png,Liam Millar,24,26,14,,,2018,18,14,LW,R,181,1,2,Toronto,Ontario,ON,ON,Brampton,Brampton YSC,,,,
https://i.imgur.com/5j8btLX.png,Jacob Shaffelburg,24,10*,0,,,2020,20,18,LW,L,181,1,0,Kentville,Nova Scotia,NS,NS,Port Williams*,Valley United SC,,,,
https://i.imgur.com/1qGxNPN.png,Cyle Larin,29,68,50,,,2014,19,18*,ST,R,188,29,2,Brampton,Ontario,ON,ON,Brampton,Brampton YSC,,,,
https://i.imgur.com/Ox2OaBa.png,Jonathan David,24,48,41,,,2018,18,15,ST,R*,180,26,13,Brooklyn*,-,-,ON,Ottawa,Ottawa Gloucester Dragons,,,,
https://i.imgur.com/qgXjryP.png,Charles-Andreas Brym,25,12,2,,,2020,21,-*,ST,L,185,1,0,Colombes*,-,-,QC,Saguenay,Montreal Impact Academy,,,,
https://i.imgur.com/5rdwxX1.png,Ike Ugbo,25,9,2,,,2021,23,-*,ST,R,184,0,1,London*,-,-,ON,Brampton,Brampton East SC,,,,
https://i.imgur.com/T4R8BpN.png,Theo Bair,24,2,0,,,2020,20,17,ST,R,191,1,0,Ottawa,Ontario,ON,ON,Ottawa,Ottawa Royals,,,,
https://i.imgur.com/xOR33LC.png,Tani Oluwaseyi,24,1,0,,,2024,24,-,ST,R*,188,0,0,Abuja*,-,-,ON,Mississauga,GPS Academy*,,,,
