player_head,player,age,primary_position,NT_apps,NT_starts,NT_mins,goals_NT,assists_NT,ga,NT_debut_year,age_NT_debut
https://i.imgur.com/OioNUIP.png,Maxime Crepeau,30,GK,17,16,1467,0,0,0,2016,21
https://i.imgur.com/mRZaqps.png,Dayne St. Clair,27,GK,5,5,480,0,0,0,2021,24
https://i.imgur.com/J43nu60.png,Tom McGill,24,GK,0,0,0,0,0,0,-,-
https://i.imgur.com/fhQnBuO.png,Richie Laryea,29,RB,49,39,3546,1,8,9,2019,24
https://i.imgur.com/DBRKE2n.png,Derek Cornelius,26,CB,20,18,1629,0,0,0,2018,20
https://i.imgur.com/5xMCx6k.png,Alistair Johnston,25,RB,42,37,3186,1,3,4,2021,22
https://i.imgur.com/2kpqShn.png,Kamal Miller,27,CB,43,38,3494,0,3,3,2019,22
https://i.imgur.com/uv0WJq5.png,Moise Bombito,24,CB,6,6,427,0,0,0,2023,23
https://i.imgur.com/hVlVk6F.png,Luc De Fougerolles,18,CB,1,0,1,0,0,0,2024,18
https://i.imgur.com/TjGd1l5.png,Kyle Hiebert,26,CB,2,0,36,0,0,0,2023,25
https://i.imgur.com/Z1Y16CJ.png,Tajon Buchanan,25,RW,38,30,2591,4,7,11,2021,22
https://i.imgur.com/oEZgISr.png,Alphonso Davies,23,LB,47,42,3655,15,18,33,2017,16
https://i.imgur.com/ml5sJSb.png,Sam Piette,29,DM,69,45,4129,0,4,4,2012,17
https://i.imgur.com/LtiX8sM.png,Jonathan Osorio,32,CM,72,50,4526,9,8,17,2013,20
https://i.imgur.com/xfnJ8AE.png,Stephen Eustaquio,27,CM,37,34,2918,4,4,8,2019,22
https://i.imgur.com/6mY5gNI.png,Ismael Kone,22,CM,19,12,1139,2,0,2,2022,19
https://i.imgur.com/GlDwm7Y.png,Mathieu Choiniere,25,CM,3,0,61,0,0,0,2023,24
https://i.imgur.com/mIqJkMW.png,Liam Millar,24,LW,26,14,1178,1,2,3,2018,18
https://i.imgur.com/5j8btLX.png,Jacob Shaffelburg,24,LW,10,0,195,2,0,2,2020,20
https://i.imgur.com/1qGxNPN.png,Cyle Larin,29,ST,68,50,3967,29,3,32,2014,19
https://i.imgur.com/Ox2OaBa.png,Jonathan David,24,ST,48,41,3636,26,16,42,2018,18
https://i.imgur.com/T4R8BpN.png,Theo Bair,24,ST,2,0,21,1,0,1,2020,20
https://i.imgur.com/xOR33LC.png,Tani Oluwaseyi,24,ST,1,0,7,0,0,0,2024,24
https://i.imgur.com/WfXTRF6.png,Jacen Russell-Rowe,21,ST,5,0,93,0,0,0,2023,20
https://i.imgur.com/EzNlOJh.png,Ali Ahmed,23,CM,4,4,298,0,0,0,2023,22
https://i.imgur.com/iWDlrSt.png,Joel Waterman,28,CB,3,2,200,0,0,0,2022,26
